# Moller et al. 2024 
# SNe Ia selected with SuperNNova without host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology In DES+2024 
# Contains HQ cuts using SNphoto z fit with SALT2 
# zHD, c, x1 are derived simultanoeusly  
# all_class0_s* probabilities for different models  
# ensemble=average_probability_set_0  
SNID,IAUC,SNTYPE,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_MAG_r,HOSTGAL_MAGERR_r,zHD,zHDERR,x1,x1ERR,c,cERR,FITPROB,all_class0_S_0,all_class0_S_55,all_class0_S_100,all_class0_S_1000,all_class0_S_30469,average_probability_set_0
1366121,DES16E1g        ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,24.72,99.0,0.37845,0.00557,0.0836219,0.27466,0.0386447,0.021943,0.95619,0.9999993,0.9999988,0.9999993,0.9999982,0.9999988,0.99999887
1366152,DES16E1y        ,0,0.5363,0.001,0.5374,0.001,9.52,0.05,23.35,99.0,0.52902,0.00389,-0.0447597,0.53636,0.0401547,0.0331859,0.69293,0.9999982,0.9999721,0.9999831,0.99995494,0.9999925,0.99998015
1366179,DES16E2z        ,0,0.5346,0.001,0.5357,0.001,10.01,0.01,21.78,99.0,0.49661,0.0049,0.9174,0.57564,0.11691,0.0354475,0.71339,0.993547,0.9970278,0.99283326,0.9166744,0.9871588,0.9774483
1366195,DES16X3es       ,101,0.5531,0.001,0.5544,0.001,10.39,0.03,22.06,99.0,0.52832,0.00706,0.3438,0.24363,-0.0800049,0.00888182,0.99781,0.9999995,0.99999857,0.9999988,0.9999994,0.9999994,0.99999917
1366243,DES16X3fg       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,22.64,99.0,0.6585,0.00425,0.30112,0.36305,-0.113501,0.023951,0.0606909,0.9999999,0.99699044,0.9999945,0.9999819,0.99984086,0.9993615
1366280,DES16C3p        ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,22.85,99.0,0.57008,0.02128,0.31967,0.4624,0.23709,0.0419773,0.52558,0.99656665,0.9975867,0.99986386,0.94948083,0.9736891,0.98343736
1366406,DES16E1md       ,1,0.177,0.001,0.1779,0.001,10.55,0.02,19.77,99.0,0.16349,0.00314,1.26507,0.28638,0.15884,0.0184538,0.99019,0.9999901,0.9999993,0.9999795,0.9999999,0.99999976,0.9999937
1366410,DES16E1oe       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,22.59,99.0,0.73401,0.0059,-1.98488,0.18213,-0.00974623,0.0569979,0.28321,0.9058017,0.9624873,0.8343362,0.8953035,0.9314146,0.9058687
1366415,DES16E2of       ,0,-9.0,-9.0,-9.998,-9.998,-999.0,-999.0,25.66,99.0,0.62305,0.01233,-0.0757394,0.4549,0.0083007,0.0330133,0.0253524,0.9887524,0.66488963,0.9928256,0.9726298,0.96632296,0.9170841
1366436,DES16C2ma       ,1,0.2445,0.005,-9.99,-9999.0,-999.0,-999.0,24.1,99.0,0.25739,0.00216,-0.350947,0.10177,-0.07915,0.0113066,0.64133,1.0,1.0,1.0,1.0,1.0,1.0
1366475,DES16C2lz       ,1,0.4555,0.001,0.456,0.001,8.8,0.02,23.12,99.0,0.55163,0.00711,0.37024,0.24982,-0.193657,0.0188628,0.0462806,0.9999981,0.9999994,0.9999995,0.99999535,0.9999981,0.9999981
