# Moller et al. 2022 
# SNe Ia selected with SuperNNova using host-galaxy redshifts 
# This is NOT the cosmology sample nor the SALT values used for cosmology 
# No HQ nor JLA cuts 
# Columns are: SNID=id zHD=redshift IAUC=naming SuperNNova probabilities= all_class0_S_0, average_probability_set_0 
#              SALT2 fit= c,x1,zHDERR,cERR,x1ERR 
SNID,IAUC,SNTYPE,zHD,c,x1,zHDERR,cERR,x1ERR,HOSTGAL_MAG_r,all_class0_S_0,average_probability_set_0
1366152,DES16E1y        ,0,0.5363,-0.00379408,0.49017,0.001,0.0463055,0.7871100000000001,23.35,0.99999964,0.9999994
1366179,DES16E2z        ,0,0.5346,0.0950863,1.0525,0.001,0.0615894,0.8387100000000001,21.78,0.9998247,0.999934
1366195,DES16X3es       ,101,0.5531,-0.0742473999999999,-0.037224,0.001,0.0311949,0.45045,22.06,1.0,1.0
1366237,DES16X3er       ,1,0.1701,-0.0535072,0.93617,0.001,0.0247494,0.0672373,22.02,1.0,0.9999997
1366406,DES16E1md       ,1,0.177,0.15785,1.29377,0.001,0.0294036,0.38142,19.77,0.99999917,0.99984646
1366436,DES16C2ma       ,1,0.2445,-0.0483809,-0.2559059999999999,0.005,0.0252651,0.11697,24.1,1.0,0.9999999
1366475,DES16C2lz       ,1,0.4555,-0.114638,0.5504399999999999,0.001,0.0275152,0.35515,23.12,0.99999976,0.9999998
1366482,DES16C3fv       ,1,0.3215,-0.0285945999999999,0.72517,0.001,0.0232642,0.16124,22.04,1.0,1.0
1366578,DES16E1ok       ,0,0.9217,0.15657,3.46975,0.001,0.1181,1.81073,22.79,0.9979797,0.99680936
1366690,DES16X3on       ,1,0.2712,0.0157251,-1.44143,0.001,0.0349015,0.31913,21.06,0.9999999,0.99999964
1367121,DES16E1aj       ,0,0.7751,-0.0291552,2.72481,0.001,0.0865998,1.1382,23.85,0.9901391,0.9956172
1367180,DES16X3gb       ,0,0.8034,-0.0473077,1.11449,0.001,0.0580678,0.7530100000000001,23.79,0.99996805,0.99997425
1367253,DES16X1hd       ,0,0.6821,-0.0599972,0.50062,0.001,0.00483013,0.89102,23.49,0.99998677,0.99999094
1367309,DES16E2ot       ,0,0.5813,0.0822133999999999,-2.66835,0.001,0.0932152,0.99363,21.56,0.99978584,0.997347
1367331,DES16E1or       ,0,0.4468,-0.00673215,-0.267382,0.001,0.0311952,0.38287,22.04,0.99998343,0.99885654
1367408,DES16C1mn       ,0,0.5431,-0.0896097,1.11916,0.001,0.03982,0.69129,21.83,0.9999999,0.99999964
1367556,DES16X1hu       ,1,0.4511,-0.106494,0.0611043,0.001,0.0273514999999999,0.25509,23.61,1.0,1.0
1367571,DES16X1ox       ,1,0.4331,0.1062,0.15325,0.001,0.036398,0.38343,21.4,0.9999695,0.9999286
